	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	1q	2q	3q	4q	5q	6q	7q	8q	9q	10q	11q	12q	16q	17q	18q	19q	20q	1p	2p	3p	4p	5p	6p	7p	8p	9p	10p	11p	12p	16p	17p	18p	19p	20p
8505C_THYROID		-1	1	-1		0	-1		1	-1	1	0	-1	0	0	0	0	-1	0	1	1	-1	-1	-1	1	-1		0	-1	0	1	-1	1	0	0	0	-1	0	1	0	-1	1	-1		0		-1	1	-1	1	0	0	0	-1	0	1
8MGBA_CENTRAL_NERVOUS_SYSTEM		0		0					0	0		0		0	0	0		0	0		1	0	0	0	1	0	0	0	0	1	0	0		0	0		0		1			0	0	1		1		0	0	0	0	0	0		0	0
A101D_SKIN	0	0					1	-1	-1	-1	-1	0	0	-1	-1	-1	0	-1	0			0	0	0	0		-1	-1	1	-1	-1	-1	-1	0	-1	0	-1	0	1	0	0		0	0	0	1	-1	-1	-1	-1	0	-1	0	-1	0	-1
A1207_CENTRAL_NERVOUS_SYSTEM	0	0	0			-1	1	-1		-1	0		-1	-1		-1		-1	0	1	0		0	0	0		0	-1	1			-1	0	0	-1	1	-1	0	1		0	0		1	-1	1	-1	-1	-1	0	1	-1	0	-1	0	1
A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0	0	0		0	0	0		0		-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0		0	0	0	0	0		0	0	0	0		0	0	0	0	0
A204_SOFT_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A2058_SKIN		0	0	0			1		0	0	0	0	1	0	0	0		0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0		0	0	0	0	0	0	0	1		1	0	0	0	0	0	0		0		0
A253_SALIVARY_GLAND		0		-1					1				0		-1				0	1				0		-1		0			1				0	0		0	1		0	-1	-1	1	-1	1					-1	1		0	0	1
A2780_OVARY		0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A375_SKIN			0		0	-1	0					0	0	-1	0	0	0	-1			-1	-1	1	-1			0	-1	0	0	0		0	0	0	0	-1	0	1	0	0	0	0	0	-1	0	-1		-1		0	0	0	-1		0
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		0		0	0	0	0	0	0	0	0	0	0		0				0	0	0	0	1	0		0	0	0	0	0	0	0	0	0	1			0			0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
A498_KIDNEY		1		0		-1	1		1	0		0	0	-1	0	1	1	-1	0		1	0	1		0	0	0	-1	1	1	1	0	-1	0	1	1	-1		1		1	-1	0	1	-1	1	0	1	0	1	0	1	1	-1	0	
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	1	0	0	-1	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	1	0	0	-1	0		0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	0	1	0	0	0	0	0
A549_LUNG			0	-1	0	-1	0	0	0	0		1	-1	0		0	1	-1			-1	-1	0	0		-1	0	-1	0	0	0	0		1	0	1	-1	1	0	-1	1		-1	0	-1	0	0	0	0	0	1	0	1	-1	-1	1
A673_BONE	0	0			0	0	0	0	0	0		0	0	0	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	1	0	0		0	0	0	0	0		0	0	0	0	0		0		0	0	0	0	0	0
A704_KIDNEY	0	0		0			1	0	-1	0	0	1	0	-1	0		0	0	0	0	0	0	0	0	0	0			1	0	-1	0	0	1	-1	0	0	0	0	0	0	-1	0	0	0	1	0	-1	0	0	1	1	0	0	0	0
ABC1_LUNG						-1	-1		-1				-1	-1		-1		-1			-1		0	-1			-1	-1	-1		-1			0	-1	-1	-1			-1		-1		1			-1	-1	0	-1	-1	-1	0		-1	1
ACCMESO1_PLEURA	0	0	0	0		0	0		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0		0	0		0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ACHN_KIDNEY	0		0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0		0	1	1	0	0	0	0	0		0	0	0	0	1	0	0	0	0	1	1	0	0	0	0
AGS_STOMACH		0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0			1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	1
ALEXANDERCELLS_LIVER	0	0	-1	-1		0		-1			0	0		-1		-1					1	-1	0	0	-1	-1		0		-1	-1	-1	0	0	-1	0	-1	0	0		0	-1	-1	-1	0				0	0	0	-1	-1	0		-1
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0		0	1	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0		0	1	0	0	0	0	0		0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0		0		0
AM38_CENTRAL_NERVOUS_SYSTEM	0	0	0		0	0	0		0	0		0		0		0			0	0	-1	0	0	0		-1	0	0	0		0	0		0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0		0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0		0	0	0
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE			0		0		0	0	0	0		0		0		0		0	0	0	0	0			0				0	0	0	0		0			0	0	0			0	-1			0	0	0	0	0	0	0	0	0	0	0
AN3CA_ENDOMETRIUM	0	0	0	0	1	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0		0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
ASPC1_PANCREAS		0	-1	-1	0	-1			-1	0	0		-1	-1	-1		-1		-1		-1	-1	0	0	-1	-1	0	-1			-1	0	0	0	-1	-1		-1		-1	0	-1	-1	0	-1	1	0	-1	0	0			-1	-1	-1	0
AU565_BREAST			-1	-1					-1	-1	0	0					-1	-1	-1	1	0	-1									-1		0	0		-1	-1	-1	1		0	-1	-1	1		1	-1	-1	-1	0		0	-1	-1	-1	1
AZ521_STOMACH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BC3C_URINARY_TRACT	0			-1	0	0		1	1	0	0	0		1	0	1	0	-1	0	1	0	1	0		1	-1	0	0	-1	1	1	0	0	0	1	0	-1	0	1	0			-1		0		1	1	0	0	0	1	0	-1	0	1
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0		0	0	0	0				0	0	0	0		0	0	0	0	0	0	0	0	0		0	0	0	0		0		0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0			0
BCPAP_THYROID		0	0	0	1	0		0			1		-1	0	1			0	0	1	0	-1		0	0	0	1	0	-1	0	0	0	1	1		1	0	0	1		0	0	0	1	0	0		-1	-1	1	0	0	0	0	0	1
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BECKER_CENTRAL_NERVOUS_SYSTEM	0	0		-1	0		1	0		-1		-1	-1	-1	0			0				0	0	0		-1	0	0	1					-1	1		0			0		-1	-1		-1	1			-1	0	-1		0	0		0
BEN_LUNG			-1			-1				-1			-1	-1		1				1		-1			-1		-1	-1				-1	0						1	-1		-1	0	1		1	-1	-1				1	-1	-1	-1	1
BFTC905_URINARY_TRACT	0	0				0	0				-1	0		0	0					0	-1	-1	0	0		-1		0	0	1	0	0		0	1	0	-1	-1	0		0	-1	0	0	0	0	-1	-1	-1	-1	0	-1	-1	1		0
BFTC909_KIDNEY	0	0			0	0			0	0		0	0		0	0	0	-1	0	0	0	0	0	0			0	0		1	0	0		0	0	0	-1	0	0	0	0	0	0	0	0	1	-1		0	0	0	0	0	-1	0	0
BHT101_THYROID						0			-1			0	-1	0	-1	-1	-1	0	-1		-1	-1		-1			-1	0	1		-1	0	-1	0	-1	-1	0	-1	0			0	0	0			-1			1	0	-1	-1	0	-1	
BHY_UPPER_AERODIGESTIVE_TRACT	-1						0							0	-1			-1		1	-1	0	-1	-1	0			-1	0	1	0				0	0	-1	-1	1	-1	0	-1	0	1	0		-1		-1	1	0	-1	-1	-1		1
BICR16_UPPER_AERODIGESTIVE_TRACT									1	-1			-1	0	0			0	0		-1						0	-1			1	-1		0						0		-1		1	0	1	-1	-1	-1	0	1			0	0	
BICR18_UPPER_AERODIGESTIVE_TRACT	-1	0							-1			0						-1	-1		-1	1	-1		1		0		1					0			-1	-1		-1	0	-1	0				0	-1	-1		0	-1		-1	-1	
BICR22_UPPER_AERODIGESTIVE_TRACT	0	0			0	0	0			0		0		0	0	0	0		0	0	0	0	0	0			0	0	0		1	0		0	0	0		0	0	0		-1	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0
BICR31_UPPER_AERODIGESTIVE_TRACT		0				0	0			0		0	0		0		0		0		0		0	0	1		0	0	0		0	0		0		0			1		0	-1	1	1	0	0		-1	0	0		1	0		0	0
BICR56_UPPER_AERODIGESTIVE_TRACT	0			0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0		-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	1
BICR6_UPPER_AERODIGESTIVE_TRACT	0	0		-1								0	-1		0		0	-1		1	-1	-1	0	0		-1			0		1	0		0		0	-1	1	1	0	0	-1	-1	1	0	1	-1	-1	-1		0	1	0	-1	0	1
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0		0	0	0	1	0	0	0	0	0		0				0	0	0	0	0		0		0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
BT20_BREAST		0		-1		-1								0	0						0	-1	0			-1	-1	-1				-1		-1		-1	-1	0	1		0		-1		0	0	-1	-1		0	0	-1	0	0		
BT474_BREAST	-1	0		-1		0			-1	-1	-1	0	-1		-1	-1		0			-1	-1		0		-1			0		-1	-1	-1		-1		0	0		-1	0		-1	1	0	1	-1	-1	-1	-1	0	-1	-1	1		0
BT483_BREAST		-1		0							-1	1	0		-1	0				0	0	-1	1	-1	0	0		-1		1			-1	1	0	0		0	0		-1		0	1	0	0		0	0			0	-1	-1		0
BT549_BREAST	0	0	0	0	1	1	0	1			0	0	0	0	0	0		0	0		0	0	0	0	0	0	1	1	0	1	0		0	0	0	0	0	0		0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0	
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0
BXPC3_PANCREAS		-1		-1	-1	-1	0	0		-1	0		0	0	0	0	-1	-1		1	-1	-1	-1	-1	0	-1	-1		0	0	0	-1	0		0	-1	-1	1	1	0	-1	-1	-1	1	-1	0	0		-1		0	0	-1	-1	-1	1
C2BBE1_LARGE_INTESTINE	0	1	1	0	0	0	0	0		1		1	0	0	0	1	1	0	1	1	0	1	0		1	0	0	0	0	0		1		1	1	1	0		1	0	1	1	0	0	0	0	0	0	1	0	1	1		0		1
C32_SKIN	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0				0	0	0	0	1	1	0			0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0	0	0	0	0
C3A_LIVER	0	1	0	0	0		0	0	0	1	0	0	0	0	0	1		0	0	1	0	0	0	1	0	0	0		0	0	0	1	0	0	1		0	0	1		1	0	0	0	1	0	0	0	1	0	0		0	0	0	1
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		0	0	0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0		0	0	0	0	0		0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CADOES1_BONE		0	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0	0	0	0		0	0	0	0	0	0	1	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	-1	0	0
CAKI1_KIDNEY		0		1			1		0	1		0		-1	0				-1		0	-1	1	0	1	1	0		1	1		1	0	0	1		-1	-1	0		0		1	1	-1		0	0	1		0	0	-1	1		-1
CAKI2_KIDNEY	0	1		0			1		0	1	0		0	0	1			0	1	1	1	1	0			0			1		0	1	0		0	1	0	1	1	0	1	0	0	0	1	1	0	0	1	0		1	0	0		1
CAL120_BREAST											1		-1	-1	-1							-1	-1			0	0	-1	-1		-1		1	-1			-1	1	1				-1	1	1			-1	1	1	1	-1	-1	1	0	0
CAL12T_LUNG	-1			-1		-1		0	-1				0	1	0		-1	-1	-1	1	1		-1	-1	0	-1	-1	-1	-1	0			0	0		-1	-1	-1	1	-1	0	-1	-1	1		0	0		0	-1	-1	-1	-1		-1	1
CAL148_BREAST			0	0	0	0	1	0	0	0	0	0	0	0	0		0	0	0	1	0	-1	1		0	0	0	0	1	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	1		0	0	0	0	1	0	0	0	1
CAL27_UPPER_AERODIGESTIVE_TRACT	0	0		-1	0	0						0	0	0	0	0	0		0		0	0	0	0		-1	0	0	0	0	1	0		0	0	0	-1	0	1	0	0	-1		0	0	1	-1	0	-1		0	0	0	0	0	0
CAL29_URINARY_TRACT	0	0		-1		0		0	0	0	-1	1	-1	0	1			-1		1	-1	0	0	0	1	-1	0	0		0	0	0	-1	1	0	0	-1	0	1	0	0	-1	-1	1	0	1	0	0		-1	1		-1		-1	1
CAL33_UPPER_AERODIGESTIVE_TRACT	0	0		0	0	0			1	0	0	0	0	0	0		0		0	1	0	0	0	0	1	0	0	0	0	1		0	0	0	0	0		0	1	0	0	-1	0	0	0	1	-1		0	0	0	1	0	0	0	1
CAL51_BREAST	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAL54_KIDNEY	0	1		0	0	0	1	1		0	0	1	0	0	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	1		0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1
CAL62_THYROID	-1	0		-1	0		-1		0	0			-1		0	0		-1	0	1	-1		-1	0	0	-1	0			0	0	0			0		-1	0	1	-1			-1	0	0	-1	-1	0	0	0	0	0		-1	0	1
CAL78_BONE				-1	1		-1			-1				-1		-1	-1	-1		-1	1		-1				1		-1		-1					-1			-1	1									-1	1		-1	-1		-1	-1
CAL851_BREAST				-1										-1							0			-1		-1	-1		0	0		-1	0			0		0			0		-1	1	1	-1	-1			-1	0	-1	1	1	-1	1
CALU1_LUNG	0	0			0	0		-1		-1	0		-1	0	0			1		1	-1	-1	0	0	0	-1	0	0	0	-1	0	-1	0	0	-1	0	1	-1	1	0	0		0		0		-1	-1	-1	0	1	0	-1	1	1	1
CALU3_LUNG		0		-1					-1				-1	0		1		0			-1	0	1	0		-1					-1				1		0		1		0	0	-1	0		1		-1	0	0	0	1	-1	0	-1	-1
CALU6_LUNG		0	0	-1		-1							-1	0	0	0			0		-1	-1		0	0	-1		-1	0	0	0			0	0	-1	-1	0	0	-1	0	0	-1	0		1	-1	-1	0	0	1	0	1	0		-1
CAMA1_BREAST		0		0					0	0			0	0		0			0	0	0	0		0	0	0		-1			0	0	-1	0	0	0	0	0	0		0		0	0		0		0	0	0		0	-1	-1	0	0
CAOV3_OVARY		0		-1	0		0	0		0			-1						0					0	1				0	0		0			-1		-1	0			0							-1	0	-1			-1	0		0
CAOV4_OVARY	0	0				-1	0	-1	-1		-1	0	-1	-1	-1	-1	0	-1			0	-1		0	0	-1	0	-1	0	-1	-1	-1	-1	0	-1	0	-1	1	1		0	-1	0	1	-1	0	-1	-1	1	-1	0	-1	0	-1	-1	
CAPAN1_PANCREAS	0			-1		-1					0										-1					-1		-1					0	0			-1	0					-1	1		1	-1	-1	0		-1		-1	1		
CAPAN2_PANCREAS		0	0	0	0	-1	0			0			0	0		0		-1		0		-1	0	0		0	0	-1	0	0	0	0			0	0	-1	0	0		0	0	0	0	-1	0	-1	-1	0		0	0	-1	-1		0
CAS1_CENTRAL_NERVOUS_SYSTEM	-1	0	0	-1	0	0	1	0	0	-1		0	0	0		0		0	0	1	0	0	-1	0	0	-1	0	0	1	0	0	-1		0	0	1	0	0	1		0	0	-1	0	0	1	0		-1		0	0		0	0	1
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	0	0		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	-1	0	0
CCK81_LARGE_INTESTINE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	
CFPAC1_PANCREAS	0	0		0	0		0		-1	0			-1	0	0	0				0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0		0	0	0	0	-1	0	0	0	0		-1	0	-1	-1	0	-1	-1		0
CGTHW1_THYROID	1	0		0		0		1	0				-1	1	0	1	0	-1		1	0	1		0	1	0		0	0	1	0	0	1			0	-1	1	1	1	0	0	0	0	0	1		0	-1	0		1	0	0		1
CH157MN_CENTRAL_NERVOUS_SYSTEM	0	0	0	-1	0	0	0		0	0	0	0	0	0			0	-1	0	0	0		0	0	0	-1	0	0	0	1	0	0	0	0		0	-1	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	-1	0		0	0
CHAGOK1_LUNG				0		0	1			0		0		0			0				0				1			0	1		0		0	0		0		1	1		0		0	1	0	1	-1	-1	0	-1		0	0	1		
CHL1_SKIN	1	1		0	0	0	1	1				1	-1	0	1			1	0		0	0	1	1		0	0	0	1		0	0		1	0	1	1	0		1	1	0	0	0	0	1			-1	0		1	0	1	0	0
CHP126_AUTONOMIC_GANGLIA			0	0	0	0		0	0	0		0	0	0	0	0		0	0	0	0	0	1		0	0	0	0		0	0	0		0	0		0	0	0		1	0	0	0	0		0	0	0	0	0	0	0	0	0	0
CHP212_AUTONOMIC_GANGLIA		0	0	0	0	0	0	0	0	0		0	0	0	0			0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0			0	0	0	-1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CJM_SKIN		0			1	0		1	1	0			0	1			0	0			0			0	1	1		0				0	0		0	0	0	0	1		0		0	1	0		1	1	0	1			0	0	-1	0
CL11_LARGE_INTESTINE	0	0	0	0	0	-1	1	0	0	0	0	0	0	0		0		-1	0	0	0		0	0	0	0	0	-1	1	0	0	0	0	0	0		-1	0	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	-1	-1	0	0
CL14_LARGE_INTESTINE	0	1	0			0	0		0	0	0	0	1	-1	0				0		0	-1	0	1	0	-1	-1	0	0	-1	0	0	0	0	0	0	-1	0	1	0	1	0	0	1	0	0	0	0	0	0	0			0	0	0
CL34_LARGE_INTESTINE	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0
CL40_LARGE_INTESTINE	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0			0		0						0				0	0	-1	0		1	0			-1	0		0				0		0	0	0		0		0	0		0	1	0	-1	0		-1	-1		0		-1		
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		0	0	0	0	0	0	0		0		0		0	0	0	0	0	0		1	0		0	0	0	0	0	0	0		0		0	0	0	0	0			0		0	0	0	0	0		0	0		0		0	0	
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0		0	0	0			0	0		-1		0	0	-1	0		1	0			0	0		0		0			0	0	0	0		0		0	0		0	1	0	0	0		-1	0		0		-1		
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COLO205_LARGE_INTESTINE		0		0	1	-1	0					0	1	0	1	0		-1	0	1	0	0	1	0	1	0	1	-1	0			0	0		0	1	-1	0	1		0	-1	0	1	0	0	-1	0		1	0	0	0	-1		1
COLO320_LARGE_INTESTINE					0	0	0	0		0			1	0	0	1		0	0	1			0		1		0	0	0	0	1	0	0		1		0	0		0	1	0	1	0	0	0	0	0	0		1	1	0	0	0	1
COLO668_LUNG		0	0	0		-1		0	0	-1			1	1	0	0	-1	1	-1	0	1	1	0	0	0	0	-1	-1	0	0	0	-1			0	-1	1	-1	0		0	0	0	1	-1		0	0	-1	1	0	0	-1	1	-1	0
COLO678_LARGE_INTESTINE		0		0			1	0	0	1			1	0	1	0		0	0		0		1	0	1	0	0	-1	1	0	0	1	1		0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0
COLO679_SKIN			0	0	0	0	1	0			0		0	0		0		0	0		0				0	0	0	0	1	0	0	0	0	0	0		0	0	1	0	0	0	0	0	0	1	0		-1	0	1	0	0	0	0	0
COLO680N_OESOPHAGUS	0			-1		0				-1		0		1	0					1		0				-1		0	-1	1	0	-1		0			-1		0		-1	-1	-1	1	0	1	-1		-1	0		-1		1	-1	1
COLO684_ENDOMETRIUM		0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1
COLO704_OVARY		0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1
COLO741_SKIN	0	0		-1	-1		1		-1	-1	0	0	0	-1		-1	0		0	0	0	0	0		1	-1	-1		1		-1	-1	0	0	-1	0			0	0	0		-1			1		-1	-1	0	0	-1	0	0	0	0
COLO775_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE		0	0	-1				-1		-1	-1	0	-1	-1		1		1			0	0	1	0		-1	0			-1		-1	-1	0		0	1				0		-1	1		0	-1	0	-1		0	1	-1	1	0	0
COLO783_SKIN	0		0		-1	-1			-1	-1	0		0	-1		-1		0	0		1	0	0	0	0		-1	-1	1	0	-1	-1	0		-1		0	0	1	0		0	-1	-1	-1	0		-1	-1	0	0	-1		0	0	0
